,Id,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition
0,1,208500.0,0.2352941176470588,0.6666666666666666,0.20766773162939295,0.03341980415527355,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.6875,0.6666666666666666,1.0,1.0,1.0,0.6666666666666665,0.5,0.0437956204379562,0.11290322580645161,0.0,0.0,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.6666666666666666,1.0,1.0,0.75,0.75,0.25,1.0,0.12508858965272857,0.8,0.06421232876712328,0.14009819967266776,1.0,1.0,1.0,1.0,0.10964083175803403,0.4135593220338983,0.2592313489073097,0.3333333333333333,0.5,0.375,0.3333333333333333,0.5,0.46153846153846156,1.0,0.0,0.0,0.75,0.09276018099547512,0.6666666666666666,0.4,0.3682795698924731,0.6666666666666666,1.0,1.0,0.0,0.08221024258760108,0.09090909090909091,0.5,0.6666666666666666,0.6666666666666666
1,2,181500.0,0.0,0.6666666666666666,0.25559105431309903,0.03879501741101685,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.5,0.3333333333333333,1.0,1.0,0.8,0.5555555555555556,0.875,0.23357664233576642,0.532258064516129,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.3333333333333333,1.0,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,0.1732813607370659,0.8,0.12157534246575341,0.2065466448445172,1.0,1.0,1.0,1.0,0.19491703423650492,0.0,0.17483044461190655,0.0,0.5,0.375,0.3333333333333333,0.25,0.3076923076923077,1.0,0.25,0.5,0.75,0.10452488687782806,0.6666666666666666,0.4,0.30913978494623656,0.6666666666666666,1.0,1.0,0.2092696629213483,0.0,0.36363636363636365,0.25,0.6666666666666666,0.6666666666666666
2,3,223500.0,0.2352941176470588,0.6666666666666666,0.21725239616613418,0.04650727990838767,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.6875,0.6666666666666666,1.0,1.0,1.0,0.6666666666666665,0.5,0.058394160583941604,0.12903225806451613,0.0,0.0,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.6666666666666666,1.0,1.0,0.75,0.75,0.5,1.0,0.08610914245216159,0.8,0.1857876712328767,0.15057283142389527,1.0,1.0,1.0,1.0,0.12308338584331023,0.41937046004842615,0.27354935945742276,0.3333333333333333,0.5,0.375,0.3333333333333333,0.5,0.3076923076923077,1.0,0.25,0.5,0.75,0.09366515837104072,0.6666666666666666,0.4,0.40860215053763443,0.6666666666666666,1.0,1.0,0.0,0.05660377358490566,0.7272727272727273,0.5,0.6666666666666666,0.6666666666666666
3,4,140000.0,0.2941176470588235,0.6666666666666666,0.19169329073482427,0.0385613124868541,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.75,0.6666666666666666,1.0,1.0,1.0,0.6666666666666665,0.5,0.6715328467153284,0.6129032258064515,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.25,0.6666666666666666,0.03827072997873848,0.8,0.23116438356164382,0.12373158756137481,1.0,0.75,1.0,1.0,0.1316950220541903,0.36610169491525424,0.2605501130369254,0.3333333333333333,0.25,0.375,0.3333333333333333,0.5,0.3846153846153847,1.0,0.25,0.75,0.25,0.09411764705882353,0.3333333333333333,0.6000000000000001,0.43145161290322587,0.6666666666666666,1.0,1.0,0.0,0.04716981132075472,0.09090909090909091,0.0,0.6666666666666666,0.0
4,5,250000.0,0.2352941176470588,0.6666666666666666,0.268370607028754,0.06057631634298535,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.7777777777777777,0.5,0.06569343065693431,0.16129032258064516,0.0,0.0,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.6666666666666666,1.0,1.0,0.75,0.75,0.75,1.0,0.11605244507441531,0.8,0.20976027397260272,0.18739770867430444,1.0,1.0,1.0,1.0,0.17034236504935935,0.5099273607748184,0.35116804822908815,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5384615384615384,1.0,0.25,0.5,0.75,0.09411764705882353,0.6666666666666666,0.6000000000000001,0.5618279569892474,0.6666666666666666,1.0,1.0,0.1348314606741573,0.11320754716981132,0.9999999999999999,0.5,0.6666666666666666,0.6666666666666666
5,6,143000.0,0.17647058823529413,0.6666666666666666,0.2715654952076677,0.05989857206291336,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.375,0.6666666666666666,1.0,1.0,0.2,0.4444444444444445,0.5,0.12408759124087591,0.25806451612903225,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.3333333333333333,1.0,0.0,0.75,0.75,0.25,1.0,0.12969525159461376,0.8,0.0273972602739726,0.13027823240589198,1.0,1.0,1.0,1.0,0.09703843730308757,0.27409200968523,0.19366993217784478,0.3333333333333333,0.25,0.125,0.3333333333333333,0.25,0.23076923076923078,1.0,0.0,0.0,0.75,0.09773755656108597,0.3333333333333333,0.4,0.32258064516129037,0.6666666666666666,1.0,1.0,0.028089887640449437,0.04043126684636119,0.8181818181818182,0.75,0.6666666666666666,0.6666666666666666
6,7,307000.0,0.0,0.6666666666666666,0.23961661341853036,0.04105728107691229,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.8125,0.6666666666666666,1.0,1.0,0.8,0.7777777777777777,0.5,0.029197080291970802,0.06451612903225806,0.0,0.0,0.8571428571428571,0.8571428571428571,1.0,0.6666666666666666,1.0,1.0,1.0,0.75,0.75,1.0,0.24255846917080087,0.8,0.13570205479452055,0.27594108019639935,1.0,1.0,1.0,1.0,0.28565427431211926,0.0,0.2562170308967596,0.3333333333333333,0.5,0.375,0.3333333333333333,0.5,0.3846153846153847,1.0,0.25,0.75,0.75,0.0918552036199095,0.6666666666666666,0.4,0.4274193548387097,0.6666666666666666,1.0,1.0,0.17907303370786518,0.07681940700808626,0.6363636363636364,0.25,0.6666666666666666,0.6666666666666666
7,8,200000.0,0.2352941176470588,0.6666666666666666,0.0,0.04245016242492229,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.5625,1.0,1.0,1.0,1.0,0.6666666666666665,0.625,0.27007299270072993,0.6129032258064515,0.0,0.0,0.42857142857142855,0.5714285714285714,1.0,0.3333333333333333,1.0,0.6666666666666666,0.75,0.75,0.5,0.6666666666666666,0.15219702338766833,0.2,0.09246575342465753,0.1811783960720131,1.0,1.0,1.0,1.0,0.16236084856122662,0.47602905569007264,0.3308214016578749,0.3333333333333333,0.5,0.375,0.3333333333333333,0.25,0.3846153846153847,1.0,0.5,0.5,0.75,0.10678733031674208,0.6666666666666666,0.4,0.3252688172043011,0.6666666666666666,1.0,1.0,0.16502808988764045,0.2749326145552561,0.9090909090909091,0.75,0.6666666666666666,0.6666666666666666
8,9,129900.0,0.17647058823529413,0.3333333333333333,0.16293929712460065,0.022529154689289302,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.1875,0.0,1.0,1.0,0.2,0.6666666666666665,0.5,0.5693430656934306,0.9677419354838709,0.0,0.0,0.7142857142857142,0.2857142857142857,0.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.75,0.25,0.8333333333333333,0.0,0.8,0.40753424657534243,0.155810147299509,1.0,0.75,1.0,0.0,0.1445074564167192,0.3641646489104116,0.2712886209495102,0.0,0.5,0.25,0.6666666666666666,0.25,0.46153846153846156,0.3333333333333333,0.5,0.5,0.25,0.1253393665158371,0.3333333333333333,0.4,0.31451612903225806,0.3333333333333333,1.0,1.0,0.06320224719101124,0.0,0.2727272727272727,0.5,0.6666666666666666,0.0
9,10,118000.0,1.0,0.6666666666666666,0.1597444089456869,0.028605482717520857,1.0,0.0,0.3333333333333333,1.0,0.5,0.0,0.0625,0.0,0.0,0.0,0.4,0.4444444444444445,0.625,0.510948905109489,0.9677419354838709,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.75,0.25,1.0,0.15077958894401133,0.8,0.059931506849315065,0.16219312602291328,1.0,1.0,1.0,1.0,0.15605965133375338,0.0,0.13997739261492087,0.3333333333333333,0.25,0.25,0.6666666666666666,0.25,0.23076923076923078,1.0,0.5,0.5,0.75,0.12171945701357466,0.6666666666666666,0.2,0.1377688172043011,1.0,1.0,1.0,0.0,0.005390835579514825,0.0,0.5,0.6666666666666666,0.6666666666666666
