,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontage_nan,MasVnrArea_nan,BsmtFinSF1_nan,BsmtFinSF2_nan,BsmtUnfSF_nan,TotalBsmtSF_nan,BsmtFullBath_nan,BsmtHalfBath_nan,GarageYrBlt_nan,GarageCars_nan,GarageArea_nan
0,1,60,2,65.0,8450,1,0,1,1,0,0,11,2,1,4,5,7,5,5,5,0,0,6,6,2,196.0,2,2,3,3,3,1,6,706.0,4,0.0,150.0,856.0,1,4,1,2,856,854,0,1710,1.0,0.0,2,1,3,1,2,8,3,0,0,3,5.0,2,2.0,548.0,2,3,2,0,61,0,0,0,0,0,2,2008,2,2,208500.0,0,0,0,0,0,0,0,0,0,0,0
1,2,20,2,80.0,9600,1,0,1,1,1,0,8,1,1,4,4,6,8,31,31,0,0,1,1,0,0.0,1,2,2,3,3,4,4,978.0,4,0.0,284.0,1262.0,1,4,1,2,1262,0,0,1262,0.0,1.0,2,0,3,1,1,6,3,1,2,3,31.0,2,2.0,460.0,2,3,2,298,0,0,0,0,0,0,5,2007,2,2,181500.0,0,0,0,0,0,0,0,0,0,0,0
2,3,60,2,68.0,11250,1,1,1,1,0,0,11,2,1,4,5,7,5,7,6,0,0,6,6,2,162.0,2,2,3,3,3,2,6,486.0,4,0.0,434.0,920.0,1,4,1,2,920,866,0,1786,1.0,0.0,2,1,3,1,2,6,3,1,2,3,7.0,2,2.0,608.0,2,3,2,0,42,0,0,0,0,0,9,2008,2,2,223500.0,0,0,0,0,0,0,0,0,0,0,0
3,4,70,2,60.0,9550,1,1,1,1,2,0,12,2,1,4,5,7,5,91,36,0,0,2,2,0,0.0,1,2,1,2,4,1,4,216.0,4,0.0,540.0,756.0,1,3,1,2,961,756,0,1717,1.0,0.0,1,0,3,1,2,7,3,1,3,1,8.0,1,3.0,642.0,2,3,2,0,35,272,0,0,0,0,2,2006,2,0,140000.0,0,0,0,0,0,0,0,0,0,0,0
4,5,60,2,84.0,14260,1,1,1,1,1,0,16,2,1,4,5,8,5,8,8,0,0,6,6,2,350.0,2,2,3,3,3,3,6,655.0,4,0.0,490.0,1145.0,1,4,1,2,1145,1053,0,2198,1.0,0.0,2,1,4,1,2,9,3,1,2,3,8.0,2,3.0,836.0,2,3,2,192,84,0,0,0,0,0,12,2008,2,2,250000.0,0,0,0,0,0,0,0,0,0,0,0
5,6,50,2,85.0,14115,1,1,1,1,0,0,6,2,1,4,1,5,5,16,14,0,0,6,6,0,0.0,1,2,0,3,3,1,6,732.0,4,0.0,64.0,796.0,1,4,1,2,796,566,0,1362,1.0,0.0,1,1,1,1,1,5,3,0,0,3,16.0,1,2.0,480.0,2,3,2,40,30,0,320,0,0,700,10,2009,2,2,143000.0,0,0,0,0,0,0,0,0,0,0,0
6,7,20,2,75.0,10084,1,0,1,1,0,0,13,2,1,4,4,8,5,3,2,0,0,6,6,3,186.0,2,2,3,4,3,3,6,1369.0,4,0.0,317.0,1686.0,1,4,1,2,1694,0,0,1694,1.0,0.0,2,0,3,1,2,7,3,1,3,3,3.0,2,2.0,636.0,2,3,2,255,57,0,0,0,0,0,8,2007,2,2,307000.0,0,0,0,0,0,0,0,0,0,0,0
7,8,60,2,68.0,10382,1,1,1,1,2,0,9,3,1,4,5,7,6,36,36,0,0,3,4,3,240.0,1,2,2,3,3,2,4,859.0,1,32.0,216.0,1107.0,1,4,1,2,1107,983,0,2090,1.0,0.0,2,1,3,1,1,7,3,2,2,3,36.0,2,2.0,484.0,2,3,2,235,204,228,0,0,0,350,11,2009,2,2,200000.0,1,0,0,0,0,0,0,0,0,0,0
8,9,50,1,51.0,6120,1,0,1,1,0,0,3,0,1,4,1,7,5,77,58,0,0,5,2,0,0.0,1,2,1,2,3,1,5,0.0,4,0.0,952.0,952.0,1,3,1,0,1022,752,0,1774,0.0,0.0,2,0,2,2,1,8,1,2,2,1,77.0,1,2.0,468.0,1,3,2,90,0,205,0,0,0,0,4,2008,2,0,129900.0,0,0,0,0,0,0,0,0,0,0,0
9,10,190,2,50.0,7420,1,0,1,1,2,0,1,0,0,0,2,5,6,69,58,0,0,1,1,0,0.0,1,2,1,2,3,1,6,851.0,4,0.0,140.0,991.0,1,4,1,2,1077,0,0,1077,1.0,0.0,1,0,2,2,1,5,3,2,2,3,69.0,2,1.0,205.0,3,3,2,0,4,0,0,0,0,0,1,2008,2,2,118000.0,0,0,0,0,0,0,0,0,0,0,0
